name,rest_pos,min_pos,max_pos
Eye_Left_LR,90,45,135
Eye_Right_LR,90,45,135
Eye_Right_UD,90,60,135
Check_L,118,83,145
Check_R,90,63,127
Upper_Lip,90,0,180
Eye_Left_UD,123,54,155
Eyelid_Right_Lower,90,70,120
Eyebrow_R,90,84,140
Eyelid_Right_Upper,80,40,110
Forhead_R,90,70,115
Forhead_L,100,80,120
Eyebrow_L,90,70,115
Eyelid_Left_Down,90,60,100
Eyelid_Left_Up,90,80,135
Rothead,90,30,150
bicep,0,0,90
rotate,90,40,180
shoulder,130,0,180
omoplate,70,10,70
Neck,60,0,100
Jaw,100,100,150
Rollneck,40,0,60
