name,rest_pos,min_pos,max_pos
Eye_Left_LR,120,90,170
Eye_Right_LR,108,81,135
Eye_Right_UD,112,80,135
Check_L,118,83,135
Check_R,101,77,133
Upper_Lip,67,65,99
Eye_Left_UD,90,70,110
Eyelid_Right_Lower,90,80,130
Eyebrow_R,115,84,140
Eyelid_Right_Upper,80,35,100
Forhead_R,90,45,116
Forhead_L,120,90,150
Eyebrow_L,96,70,125
Eyelid_Left_Down,90,40,100
Eyelid_Left_Up,72,40,165
Rothead,90,30,150
bicep,33,0,63
rotate,90,40,90
shoulder,145,75,180
omoplate,70,10,70
Neck,60,50,90
Jaw,80,80,125
Rollneck,70,50,105
wrist,90,0,180
ringfinger,170,10,170
midfinger,160,10,160
pinky,160,10,160
index,0,0,150
thumb,60,60,170
